,year,artists,duration_ms,name,popularity
18820,2016,"['Kane Brown', 'Lauren Alaina']",188253,What Ifs (feat. Lauren Alaina),74
18821,2016,['Post Malone'],256533,White Iverson,78
18822,2016,['Rihanna'],191600,Needed Me,79
18823,2016,['Bruno Mars'],206693,That's What I Like,81
18824,2016,['Post Malone'],179613,Go Flex,78
18825,2016,['Lil Uzi Vert'],198944,Money Longer,75
18826,2016,"['Rob $tone', 'J. Davi$', 'Spooks']",177184,Chill Bill (feat. J. Davi$ & Spooks),78
18827,2016,"['gnash', ""Olivia O'Brien""]",251034,"i hate u, i love u (feat. olivia o'brien)",81
18828,2016,['Twenty One Pilots'],195920,Heathens,81
18829,2016,['Rihanna'],186467,Desperado,78
18830,2016,['Russ'],161985,"Psycho, Pt. 2",78
18831,2016,['Frank Ocean'],177922,Godspeed,77
18832,2016,['Sik World'],134197,7 Years (Remix),77
18833,2016,['The 1975'],347520,Somebody Else,74
18834,2016,['Daniel Caesar'],270847,Japanese Denim,76
18835,2016,['Frank Ocean'],248808,White Ferrari,76
18836,2016,['Lukas Graham'],237300,7 Years,80
18837,2016,['Lil Uzi Vert'],199993,Erase Your Social,73
18838,2016,['Rihanna'],224000,Love On The Brain,80
18839,2016,"[""Auli'i Cravalho""]",163387,How Far I'll Go,74
